"","people","mv_name","screen","play_t","play_wk","re_open","top_country","record_month","record_date","month_week","top_sup"
"9",15,"007 제2편 : 위기일발",1,1,1,1,0,"4",4,"1",0
"12",2235,"100미터",129,438,6,0,0,"2",10,"2",0
"19",223581,"12 솔져스",714,9835,14,0,1,"4",22,"4",0
"20",5069,"120 BPM",90,431,12,0,0,"3",30,"5",0
"21",1,"127시간",1,1,1,1,1,"2",3,"1",1
"24",1,"13일의 금요일: 더 파이널",1,1,1,0,1,"1",5,"1",0
"26",43,"14인의 여걸",1,1,1,1,0,"1",19,"3",0
"28",67,"17인의사자들",2,3,2,1,1,"4",29,"5",0
"31",7231770,"1987",6632,138217,17,0,1,"4",11,"2",1
"33",14,"1999, 면회",1,2,1,1,1,"1",23,"4",0
"34",1,"19금 특별한 정사",1,1,1,0,1,"1",23,"4",0
"35",218808,"1급기밀",1198,11359,13,0,1,"4",18,"3",0
"60",182,"2017복상사",20,20,1,0,1,"3",6,"1",0
"62",1732,"22년 후의 고백",77,306,4,0,1,"4",8,"2",0
"63",21,"23 아이덴티티",2,7,2,0,1,"3",23,"4",0
"65",417,"24주",9,56,3,0,0,"2",3,"1",0
"67",1,"28살 미망인의 속옷",1,1,1,0,1,"3",13,"2",0
"70",50,"3류들의 사랑",1,1,1,0,1,"2",14,"2",0
"71",129,"3분 파트너",18,21,2,0,1,"2",14,"2",0
"72",1,"3분 파트너-무삭제",1,1,1,0,1,"3",11,"2",0
"76",114,"400번의 구타",2,4,2,0,0,"2",28,"4",0
"78",46,"43354",7,22,2,0,1,"4",29,"5",0
"79",54,"45년 후",2,2,2,0,0,"3",16,"3",0
"80",722967,"47 미터",2378,28254,11,0,0,"2",10,"2",0
"81",337,"4등",3,3,3,0,1,"2",21,"3",0
"83",27,"4월 이야기",1,1,1,1,1,"2",3,"1",0
"85",717,"500일의 썸머",17,25,17,1,1,"2",31,"5",0
"86",217785,"50가지 그림자: 해방",652,10046,9,0,1,"4",19,"3",0
"87",1,"50가지 욕망의 그림자",1,1,1,0,1,"3",30,"5",0
"88",1,"50대 장모님의 불타는 사위사랑",1,1,1,0,1,"4",4,"1",0
"90",30,"5일의 마중",2,3,2,0,0,"3",18,"3",0
"91",3378,"6 웨이 투 다이",10,15,5,0,1,"3",4,"1",0
