"","영화명","개봉일","누적관객수","스크린수","상영횟수","대표국적","배급사","17371"
"6","군함도","42942","4070080","2027","52152","한국","씨제이이앤엠(주)",2017-07-24
"7","슈퍼배드 3","42942","1225839","1057","17801","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-24
"8","덩케르크","42936","2179492","1153","23516","미국","워너브러더스 코리아(주)",2017-07-24
"9","스파이더맨: 홈 커밍","42921","7131999","879","10829","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-24
"10","47 미터","42935","572901","633","7797","영국","씨네그루(주)키다리이엔티",2017-07-24
"11","극장판 짱구는 못말려 : 습격!! 외계인 덩덩이","42936","237116","414","2992","일본","씨제이이앤엠(주)",2017-07-24
"12","플립","42928","328717","185","2631","미국","(주)팝엔터테인먼트",2017-07-24
"13","내 사랑","42928","214243","174","1512","아일랜드","오드",2017-07-24
"14","카3: 새로운 도전","42929","472712","394","1716","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-07-24
"15","예수는 역사다","42929","135885","136","865","미국","(재)CBS",2017-07-24
"16","오즈: 신기한 마법가루","42936","74946","282","1079","러시아","(주)스마일이엔티",2017-07-24
"17","택시운전사","42949","85664","32","84","한국","(주)쇼박스",2017-07-24
"18","박열","42914","2354331","351","1445","한국","메가박스(주)플러스엠",2017-07-24
"19","송 투 송","42942","14621","97","832","미국","CGV아트하우스",2017-07-24
"20","옥자","42915","309541","59","675","미국","(주)넥스트엔터테인먼트월드(NEW)",2017-07-24
"21","위시 어폰","42936","54654","262","1158","미국","(주)이수C&E",2017-07-24
"22","청년경찰","42956","14258","26","66","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-24
"23","내가 죽기 전에 가장 듣고 싶은 말","42935","39715","147","750","미국","(주)메인타이틀픽쳐스,주식회사 키위컴퍼니",2017-07-24
"24","프란츠","42936","11749","42","346","프랑스","찬란",2017-07-24
"25","킹 오브 프리즘 - 프라이드 더 히어로","42896","65951","24","157","일본","(주)박수엔터테인먼트",2017-07-24
"26","다크 나이트","39666","4174101","71","229","미국","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2017-07-24
"27","노무현입니다","42880","1852645","12","56","한국","CGV아트하우스,영화사 풀",2017-07-24
"28","공범자들","42964","2034","1","5","한국","(주)엣나인필름",2017-07-24
"29","명탐정 코난:진홍의 연가","42949","1662","4","6","일본","씨제이이앤엠(주)",2017-07-24
"30","다이노소어 아일랜드","42935","7407","82","186","호주","(주)더블앤조이픽쳐스",2017-07-24
"31","우리를 침범하는 것들","42936","4303","47","238","영국","그린나래미디어(주)",2017-07-24
"32","무브! 댄스 유어 라이프",NA,"1533","2","14","프랑스",NA,2017-07-24
"33","키스 미 데들리",NA,"1643","1","15","미국",NA,2017-07-24
"34","너의 이름은.","42739","3672698","24","125","일본","메가박스(주)플러스엠",2017-07-24
"35","비긴 어게인","41864","3431851","14","14","미국","판씨네마(주)",2017-07-24
"36","아메리칸 허니: 방황하는 별의 노래","42929","7983","19","120","영국","(주)티캐스트",2017-07-24
"37","리얼","42914","469952","7","39","한국","씨제이이앤엠(주)",2017-07-24
"38","돈 슬립","42935","1416","24","152","미국","(주)제이앤씨미디어그룹",2017-07-24
"39","헤드윅","37477","40715","11","83","미국","(주)엣나인필름,(주)씨네월드",2017-07-24
"40","7인의 사무라이",NA,"2079","1","9","일본",NA,2017-07-24
"41","서서평, 천천히 평온하게","42851","121373","4","24","한국","커넥트픽쳐스(주)",2017-07-24
"42","카사블랑카","36253","14312","1","11","미국",NA,2017-07-24
"43","지난 여름 갑자기",NA,"5960","1","15","미국",NA,2017-07-24
"44","불온한 당신","42936","2236","14","89","한국","무브먼트",2017-07-24
"45","극장판 도라에몽: 진구의 남극 꽁꽁 대모험","42957","800","4","8","일본","(주)넥스트엔터테인먼트월드(NEW)",2017-07-24
"46","빅터 영 페레즈","42929","4846","1","2","프랑스","(주)에이원엔터테인먼트",2017-07-24
"47","불한당: 나쁜 놈들의 세상","42872","936262","3","11","한국","씨제이이앤엠(주)",2017-07-24
"48","그 후","42922","17887","24","116","한국","(주)영화제작전원사 ,(주)콘텐츠판다",2017-07-24
"49","버터필드 8",NA,"3550","1","15","미국",NA,2017-07-24
"50","트랜스포머: 최후의 기사","42907","2614601","9","22","미국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-24
"51","가디언즈 오브 갤럭시","41851","1344319","1","1","미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2017-07-24
"52","헛소동","42943","591","5","31","미국","㈜영화사 백두대간",2017-07-24
"53","예감은 틀리지 않는다","42957","1244","3","5","영국","CGV아트하우스",2017-07-24
"54","킹 오브 프리즘","42593","105609","1","2","일본","(주)박수엔터테인먼트",2017-07-24
"55","여자들","42950","845","2","3","한국","㈜인디스토리",2017-07-24
"56","청일전쟁과 여걸 민비",NA,"2627","1","6","한국",NA,2017-07-24
"57","황야의 7인","26605","7305","1","6","미국",NA,2017-07-24
"58","100미터","42936","1547","41","121","스페인","㈜코리아스크린,와이드 릴리즈(주)",2017-07-24
"59","전쟁과 평화","28395","12205","1","4","미국",NA,2017-07-24
"60","빅풋 주니어","42956","1808","2","4","벨기에","(주)이수C&E",2017-07-24
"61","리오 그란데",NA,"3408","1","5","미국",NA,2017-07-24
"62","재꽃","42922","4592","17","74","한국","딥 포커스",2017-07-24
"63","사형수 탈옥하다",NA,"395","1","6","프랑스",NA,2017-07-24
"64","스펠바운드",NA,"639","1","6","미국",NA,2017-07-24
"65","러빙 빈센트","43048","322","1","4","영국","판씨네마(주)",2017-07-24
"66","애천",NA,"2446","1","6",NA,NA,2017-07-24
"67","열정의 랩소디",NA,"3143","1","16","미국",NA,2017-07-24
"68","미이라","42892","3689265","5","29","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-24
"69","에스더의 왕",NA,"1545","1","4","이탈리아",NA,2017-07-24
"70","루살카","42917","1197","11","20","미국","(주)인스터피씨엠",2017-07-24
"71","오두막","42845","74947","2","15","미국","판씨네마(주)",2017-07-24
"72","파밍 보이즈","42929","2545","12","49","한국","(주)영화사 진진",2017-07-24
"73","장미의 이름","32662","5525","1","3","프랑스","이십세기폭스필름코퍼레이션",2017-07-24
"74","시소","42684","9425","1","1","한국","(주)대명문화공장,(주)리틀빅픽쳐스",2017-07-24
"75","샤인","35455","16325","3","17","호주","(주)라이크 콘텐츠",2017-07-24
"76","행성탈출: 반란의 서막","42942","238","1","1","호주","(주)액티버스엔터테인먼트",2017-07-24
"77","아가씨(확장판)",NA,"12471","1","2","한국",NA,2017-07-24
"78","엘르","42901","35255","4","13","프랑스","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-24
"79","레이디 맥베스","42950","720","1","2","영국","주식회사 씨네룩스",2017-07-24
"80","직지코드","42914","9473","5","31","한국","(주)엣나인필름",2017-07-24
"81","안녕 히어로","42985","424","1","1","한국","(주)시네마달",2017-07-24
"82","투란도트","42407","2913","9","11","독일","(주)케빈앤컴퍼니",2017-07-24
"83","블루 하와이",NA,"979","1","12",NA,NA,2017-07-24
"84","나데시코 더 무비 : 더 프린스 오브 다크니스",NA,"200","1","2","일본",NA,2017-07-24
"85","꿈의 제인","42886","24292","4","14","한국","(주)엣나인필름,CGV아트하우스",2017-07-24
"86","올 리브 올리브","42929","1990","15","79","한국","(주)시네마달",2017-07-24
"87","올드보이","37946","308014","1","2","한국","쇼이스트(주),씨제이이앤엠(주)",2017-07-24
"88","올 댓 재즈",NA,"417","1","3","미국",NA,2017-07-24
"89","기쿠지로의 여름","37498","1526","1","5","일본","(주)영화사 진진,(주)튜브엔터테인먼트",2017-07-24
"90","헤어",NA,"180","1","2","미국",NA,2017-07-24
"91","라라랜드","42711","3506686","1","2","미국","판씨네마(주)",2017-07-24
"92","마리안느와 마가렛","42845","28103","1","1","한국","(주)팝엔터테인먼트",2017-07-24
"93","벨벳 골드마인","36400","5749","1","2","영국","(주)엔케이컨텐츠",2017-07-24
"94","로스트 인 파리","42873","27047","2","15","프랑스","그린나래미디어(주)",2017-07-24
"95","암고양이들","42943","529","4","16","일본","홀리가든,(주)오렌지옐로우하임",2017-07-24
"96","이모티: 더 무비","42949","151","1","1","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-24
"97","단편2: 다섯 번째 계절들 [썸머프라이드시네마]",NA,"150","1","2","한국",NA,2017-07-24
"98","레미제라블 디 오리지널",NA,"4285","1","6","독일",NA,2017-07-24
"99","꼬마돼지 베이브의 대모험","42901","42516","4","5","독일","(주)박수엔터테인먼트",2017-07-24
"100","아빠는 딸","42837","646924","1","1","한국","메가박스(주)플러스엠",2017-07-24
"101","무정",NA,"238","1","10","한국",NA,2017-07-24
"102","SICAF2017 마스터클래스: 폴란드",NA,"139","1","1","폴란드",NA,2017-07-24
"103","캐리비안의 해적: 죽은 자는 말이 없다","42879","3049894","1","1","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-07-24
"104","SICAF2017 특별경쟁:시카프 아시아",NA,"138","1","1","기타",NA,2017-07-24
"105","SICAF2017 경쟁: 단편2",NA,"138","1","1","기타",NA,2017-07-24
"106","SICAF2017 경쟁:학생1",NA,"137","1","1","기타",NA,2017-07-24
"107","SICAF2017 경쟁: 단편1",NA,"137","1","1","기타",NA,2017-07-24
