"","영화명","개봉일","대표국적","배급사","영화명","screen","playtt","people","weekkk"
"1","국제시장","2014-12-17","한국","씨제이이앤엠(주)","-1287",2,3,12,2015-09-17
"2","테이큰 3","2015-01-01","미국","이십세기폭스코리아(주)","#여름영화",1,1,44,2017-06-29
"3","마다가스카의 펭귄","2014-12-31","미국","씨제이이앤엠(주)","...ing",2,3,8,2017-03-09
"4","님아, 그 강을 건너지 마오","2014-11-27","한국","CGV아트하우스,(주)대명문화공장","[PDFF2016] PDFF경선 3",1,1,148,2016-11-03
"5","기술자들","2014-12-24","한국","롯데쇼핑㈜롯데엔터테인먼트","[PDFF2016] PDFF경선 4",1,1,148,2016-11-03
"6","호빗: 다섯 군대 전투","2014-12-17","미국","워너브러더스 코리아(주)","[PDFF2016] PDFF경선 5",1,1,148,2016-11-03
"7","개를 훔치는 완벽한 방법","2014-12-31","한국","(주)리틀빅픽쳐스,(주)대명문화공장","[PDFF2016] 개막작",1,2,296,2016-11-03
"8","상의원","2014-12-24","한국","(주)쇼박스,(주)와우픽쳐스","[PDFF2016] 장애인미디어운동 1+개막작 2",1,1,148,2016-11-03
"9","눈의 여왕 2: 트롤의 마법거울","2014-12-24","러시아","씨네그루(주)다우기술","[PDFF2016] 장애인미디어운동 2+개막작 1",1,1,148,2016-11-03
"10","인터스텔라","2014-11-06","미국","워너브러더스 코리아(주)","[SIAFF2015] 국제단편경쟁 1",1,2,4,2015-04-23
"11","일곱난쟁이","2014-12-24","독일","메가박스(주)플러스엠","[SIAFF2015] 국제단편경쟁 2",1,2,21,2015-04-23
"12","더 테너 리리코 스핀토","2014-12-31","한국","(주)박수엔터테인먼트,(주)모인그룹","[SIAFF2015] 국제단편경쟁 3",1,2,8,2015-04-23
"13","언브로큰","2015-01-07","미국","유니버설픽쳐스인터내셔널 코리아(유)","[SIAFF2015] 국제단편경쟁 4",1,2,12,2015-04-23
"14","숲속으로","2014-12-24","미국","월트디즈니컴퍼니코리아(주)","[SIAFF2015] 기독 영화인 특별 상영(GV)",1,1,4,2015-04-23
"15","뽀로로 극장판 눈요정 마을 대모험","","한국","","[SIAFF2015] 해외영화제 단편특선 1. 낯선 현실",1,2,33,2015-04-23
"16","패딩턴","2015-01-07","영국","롯데쇼핑㈜롯데엔터테인먼트","[SIAFF2015] 해외영화제 단편특선 2. 쉼, 구원(GV)",2,2,34,2015-04-23
"17","워킹걸","2015-01-07","한국","메가박스(주)플러스엠","[SIAFF2016] 국제단편경쟁 1",2,2,5,2016-05-05
"18","내일을 위한 시간","2015-01-01","벨기에","그린나래미디어(주)","[SIAFF2016] 국제단편경쟁 2",2,2,17,2016-05-05
"19","마미","2014-12-18","캐나다","(주)엣나인필름","[SIAFF2016] 국제단편경쟁 3",1,2,10,2016-05-12
"20","타임 패러독스","2015-01-07","호주","(유)조이앤시네마","[SIAFF2016] 국제단편경쟁 4",1,2,18,2016-05-12
"21","무드 인디고","2014-12-11","프랑스","(주)프레인글로벌","[SIAFF2017] 내 차례+장롱면허",1,1,15,2017-04-20
"22","클라우즈 오브 실스마리아","2014-12-18","프랑스","(주)나이너스엔터테인먼트","[대전아트시네마 10주년 기념영화제] 극장전 Part 1 - 꽃의 왈츠 + Mr. KANG",2,8,67,2015-10-08
"23","그 사람 그 사랑 그 세상","2014-11-20","한국","THE 픽쳐스,(주)팝엔터테인먼트","[아티언스 대전:위대한 상상]달나라 여행+아주 특별한 여행",2,3,14,2016-10-20
"24","레드 리버","","미국","","[인디포럼2016] 기획전01 김곡, 김선 특별전",1,2,18,2016-05-26
"25","아메리칸 셰프","2015-01-07","미국","(주)영화사 진진","[인디포럼2016] 기획전02 김지현 특별전 01",1,1,20,2016-05-26
"26","쿼바디스","2014-12-10","한국","주식회사 단유필름,주식회사 푸르모디티","[인디포럼2016] 기획전03 김지현특별전 02",1,1,0,2016-05-26
