순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,히말라야,2015-12-16,14294289873 ,0.301,51537934315 ,1805943 ,6640735 ,955 ,27328 ,한국,한국,(주)제이케이필름,씨제이이앤엠(주),12세이상관람가,드라마,이석훈,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률"
2,내부자들: 디 오리지널,2015-12-31,8818440824 ,0.186,8826970824 ,1080206 ,1081288 ,838 ,14507 ,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명"
3,셜록: 유령신부,2016-01-02,7001503700 ,0.147,7001503700 ,897327 ,897327 ,891 ,15836 ,영국,영국,,메가박스(주)플러스엠,12세이상관람가,"범죄,드라마",더글라스 맥키넌,"베네딕트 컴버배치,마틴 프리먼"
4,몬스터 호텔 2,2015-12-24,3758244276 ,0.079,10083854276 ,514341 ,1376297 ,637 ,9680 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,젠디 타타코브스키,"아담 샌들러,셀레나 고메즈,케빈 제임스,스티브 부세미"
5,스타워즈: 깨어난 포스,2015-12-17,4183207576 ,0.088,27535433631 ,468121 ,3176351 ,582 ,11320 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",J.J. 에이브럼스,"해리슨 포드,마크 해밀,캐리 피셔,사이몬 페그,오스카 아이삭,막스 본 시도우,돔놀 글리슨"
6,조선마술사,2015-12-30,3468607627 ,0.073,4209558627 ,451351 ,571279 ,608 ,12250 ,한국,한국,위더스필름(주),롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,김대승,"유승호,고아라,곽도원,조윤희,이경영,박철민,손병호,조달환,서범식,김지민,이재웅,최광락,장유상,임종윤,박충선"
7,대호,2015-12-16,1538345400 ,0.032,13327898732 ,197888 ,1739758 ,426 ,5167 ,한국,한국,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,사극,박훈정,"최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이은우,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환"
8,어린왕자,2015-12-23,1193335427 ,0.025,4153788727 ,158377 ,554797 ,368 ,3656 ,프랑스,프랑스,,씨네그루(주)다우기술,전체관람가,"애니메이션,판타지,어드벤처",마크 오스본,"제프 브리지스,레이첼 맥아담스,맥켄지 포이,마리옹 꼬띠아르,제임스 프랭코,베니치오 델 토로,알버트 브룩스,리키 제바이스,폴 지아마티,버드 코트,릴리 오스본"
9,라스트 위치 헌터,2015-12-30,755847100 ,0.016,913635800 ,94183 ,119264 ,278 ,3372 ,미국,미국,,TCO(주)더콘텐츠온,15세이상관람가,"액션,어드벤처,판타지",브렉 에이즈너,"빈 디젤,일라이저 우드,로즈 레슬리,마이클 케인"
10,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,638238900 ,0.013,2059290700 ,88338 ,287179 ,270 ,2292 ,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,판타지",유야마 쿠니히코,
11,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,367802400 ,0.008,3200894300 ,48626 ,430892 ,151 ,1338 ,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
12,스누피: 더 피너츠 무비,2015-12-24,326551400 ,0.007,1456480400 ,43252 ,190665 ,168 ,1198 ,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",스티브 마티노,
13,이웃집에 신이 산다,2015-12-24,281748700 ,0.006,649374300 ,34021 ,80522 ,85 ,1114 ,벨기에,"벨기에,프랑스,룩셈부르크",,(주)엣나인필름,청소년관람불가,코미디,자코 반 도마엘,"브누와 뽀엘부르드,욜랭드 모로,까뜨린느 드뇌브"
14,내부자들,2015-11-19,170527800 ,0.004,56580975557 ,20860 ,7069214 ,75 ,388 ,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명"
15,바닷마을 다이어리,2015-12-17,124894400 ,0.003,522324484 ,15755 ,65133 ,64 ,487 ,일본,일본,,(주)티캐스트,12세이상관람가,드라마,고레에다 히로카즈,"아야세 하루카,나가사와 마사미,카호,히로세 스즈,카세 료"
16,시카리오: 암살자의 도시,2015-12-03,56551100 ,0.001,1183323252 ,6746 ,146352 ,27 ,226 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"범죄,미스터리,스릴러",드니 빌뇌브,"에밀리 블런트,베니치오 델 토로,조슈 브롤린"
17,에브리띵 윌 비 파인,2015-12-31,48799300 ,0.001,54773800 ,6339 ,7137 ,46 ,460 ,독일,"독일,캐나다,프랑스,스웨덴,노르웨이",,찬란,12세이상관람가,드라마,빔 벤더스,"제임스 프랭코,레이첼 맥아담스,샤를로뜨 갱스부르"
