순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,닥터 스트레인지,2016-10-26,"6,772,622,400",32.2%,"43,598,512,772","747,951","4,956,764",951,"30,545",미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 왕"
2,스플릿,2016-11-09,"4,063,404,330",19.3%,"4,480,537,230","498,882","553,151",702,"18,623",한국,한국,오퍼스픽쳐스,오퍼스픽쳐스,15세이상관람가,드라마,최국희,"유지태,이정현,이다윗,정성화,김지은,김태훈,신민수,윤수현,이정주,이지수,조선묵,조수정,최승"
3,럭키,2016-10-13,"2,849,210,300",13.6%,"55,638,713,056","348,941","6,870,615",669,"18,109",한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식"
4,신비한 동물사전,2016-11-16,"2,005,003,400",9.5%,"2,005,003,400","245,259","245,259","1,091","5,272",미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이"
5,위자: 저주의 시작,2016-11-09,"1,876,966,806",8.9%,"2,067,813,306","231,623","256,615",467,"9,818",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,공포(호러),마이크 플래너건,"엘리자베스 리저,애너리즈 바쏘,헨리 토마스"
6,가려진 시간,2016-11-16,"587,200,700",2.8%,"685,506,600","79,274","90,229",884,"4,256",한국,한국,(주)바른손이앤에이,(주)쇼박스,12세이상관람가,"드라마,판타지",엄태화,"강동원,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김동현,김예지,이영상,조슬예,고민우"
7,감바의 대모험,2016-11-10,"452,919,000",2.2%,"480,052,000","59,603","63,236",400,"2,627",일본,일본,,(주)영화사 빅,전체관람가,"애니메이션,어드벤처","카와무라 토모히로,코모리 요시히로",
8,세상에서 고양이가 사라진다면,2016-11-09,"352,926,400",1.7%,"421,482,300","50,496","59,941",175,"2,893",일본,일본,,(주)크리픽쳐스,12세이상관람가,드라마,나가이 아키라,"사토 타케루,미야자키 아오이,오쿠다 에이지,하라다 미에코"
9,"무현, 두 도시 이야기",2016-10-26,"365,784,100",1.7%,"1,072,274,500","46,425","136,728",136,"2,597",한국,한국,"제작위원회 ,엠앤씨에프",(주)모멘텀엔터테인먼트,15세이상관람가,다큐멘터리,전인환,"김원명,노무현"
10,노트북,2004-11-26,"208,541,000",1.0%,"4,166,853,200","24,557","597,624",112,"1,605",미국,미국,뉴라인 시네마,"글뫼 주식회사,씨제이엔터테인먼트","15세관람가,15세이상관람가",멜로/로맨스,닉 카사베츠,"레이첼 맥아덤즈,라이언 고슬링"
11,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016-11-03,"137,371,100",0.7%,"481,755,100","17,346","61,532",254,"1,050",일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,액션,나카자와 쇼지로,"김혜성,안용욱,이경태,류점희,이새아,김현욱,심규혁,이인석,강시현,홍진욱,김서영,서원석,유강진,박요한,안장혁,이인성,곽규미,한상덕,황창영,김민주,이기성"
12,형,2016-11-23,"112,746,000",0.5%,"112,746,000","15,080","15,080",46,66,한국,한국,굿초이스컷픽쳐스(주),씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수"
13,하이큐!! 끝과 시작,2016-11-16,"108,566,000",0.5%,"108,566,000","14,989","14,989",106,207,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,"히노 사토시,이리노 미유"
14,로스트 인 더스트,2016-11-03,"90,947,876",0.4%,"606,437,822","11,689","77,688",127,"1,195",미국,미국,,메가박스(주)플러스엠,15세이상관람가,"범죄,드라마",데이빗 맥킨지,"크리스 파인,벤 포스터,제프 브리지스"
15,당신자신과 당신의 것,2016-11-10,"89,196,000",0.4%,"94,695,500","11,146","11,785",151,"1,734",한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,"김주혁,이유영,김의성,권해효,유준상,김민정,백현진"
16,선생님의 일기,2016-11-02,"68,548,900",0.3%,"491,084,300","8,664","70,281",115,"1,194",태국,태국,,"(주)드림팩트엔터테인먼트,(주)미로스페이스",12세이상관람가,"멜로/로맨스,드라마",니티왓 다라톤,레일라 분야삭
17,"색, 계",2007-11-08,"68,018,700",0.3%,"12,647,469,900","8,649","1,923,515",119,"1,216",미국,미국,,"(주)제이앤씨미디어그룹,씨제이엔터테인먼트",청소년관람불가,"드라마,멜로/로맨스",이안,"탕웨이,양조위"
18,자백,2016-10-13,"51,387,500",0.2%,"1,014,499,800","6,556","129,536",30,286,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호
19,오 마이 파파,2016-11-10,"43,689,600",0.2%,"53,961,600","5,902","7,447",36,295,한국,한국,(주)하이하버픽쳐스,(주)모멘텀엔터테인먼트,전체관람가,다큐멘터리,박혁지,
20,인페르노,2016-10-19,"47,761,300",0.2%,"5,650,113,803","5,701","688,145",35,346,미국,"미국,일본,터키,헝가리",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",론 하워드,"톰 행크스,펠리시티 존스,벤 포스터,이르판 칸,오마 사이,시드 바벳 크누센,안나 울라루"
21,글루미 선데이,2000-10-21,"43,443,000",0.2%,"170,723,400","5,542","21,631",56,520,독일,독일,,(주)팝엔터테인먼트,18세관람가,드라마,롤프 슈벨,"스테파노 디오니시,조아킴 크롤,에리카 마로잔,벤 베커"
22,인어공주 : 새로운 모험의 시작,2016-11-03,"40,412,700",0.2%,"232,525,900","5,475","30,234",91,343,중국,중국,,예지림엔터테인먼트,전체관람가,애니메이션,아담 추,
23,카페 6,2016-11-16,"36,594,800",0.2%,"38,092,800","5,247","5,461",122,357,대만,대만,,(주)라이크 콘텐츠,12세이상관람가,"멜로/로맨스,코미디",오자운,"동자건,안탁령,임백굉,오양니니"
24,"제자도 - 제자,옥한흠2",2016-11-10,"37,423,000",0.2%,"38,725,000","5,183","5,400",79,777,한국,한국,파이오니아21,파이오니아21,전체관람가,다큐멘터리,김상철,"권오중,옥한흠"
25,혼숨,2016-10-26,"35,431,924",0.2%,"2,254,825,445","4,470","287,568",73,576,한국,한국,(주)무비스퀘어,(주)프레인글로벌,15세이상관람가,공포(호러),이두환,"류덕환,조복래,박형서,조동혁,이규섭,이수빈,조혜원"
26,위스키 탱고 폭스트롯,2016-11-10,"29,975,370",0.1%,"32,437,370","4,001","4,324",108,969,미국,미국,,(주)디스테이션,15세이상관람가,"전쟁,드라마,코미디","글렌 피카라,존 레쿼","티나 페이,마고 로비,마틴 프리먼"
27,쿠보와 전설의 악기,2016-10-26,"23,576,000",0.1%,"205,592,862","3,378","30,017",72,318,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,어드벤처,가족,판타지",트래비스 나이트,"샤를리즈 테론,랄프 파인즈,루니 마라,매튜 매커너히,조지 타케이,캐리-히로유키 타가와,브렌다 바카로"
28,무한대를 본 남자,2016-11-03,"18,383,400",0.1%,"252,590,254","2,496","32,774",32,210,영국,영국,,판씨네마(주),12세이상관람가,드라마,맷 브라운,"데브 파텔,제레미 아이언스,토비 존스,스티븐 프라이,제레미 노담,케빈 맥널리,엔조 실렌티,리차드 존슨"
29,순종,2016-11-17,"15,958,000",0.1%,"32,258,000","2,445","4,633",8,17,한국,한국,(재)CBS,"(재)CBS,(주)영화사 안다미로",전체관람가,다큐멘터리,"김동민,이주훈","최강희,최수종,김은혜,김영화"
30,세 얼간이 감독판,2011-08-18,"18,098,900",0.1%,"60,559,400","2,224","7,382",41,309,인도,인도,,"와이드 릴리즈(주),필라멘트픽쳐스",12세이상관람가,"코미디,드라마",라즈쿠마르 히라니,"아미르 칸,마드하반,셔먼 조쉬,카리나 카푸르"
31,시소,2016-11-10,"13,983,200",0.1%,"34,360,200","1,920","4,292",49,421,한국,한국,(주)에스엠 컬처앤콘텐츠,"(주)대명문화공장,(주)리틀빅픽쳐스",전체관람가,다큐멘터리,고희영,"이동우,임재신,김윤태,김진희"
32,킹 오브 프리즘,2016-08-11,"13,502,000",0.1%,"761,353,000","1,812","90,392",11,76,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
33,드래곤 네스트: 평화 기사단 VS 블랙 드래곤,2016-11-17,"12,877,000",0.1%,"12,877,000","1,629","1,629",8,12,중국,중국,,THE 픽쳐스,전체관람가,"애니메이션,어드벤처,가족,판타지",송유평,블라이스 오파스
34,워락,,"3,257,000",0.0%,"4,184,000","1,611","2,096",1,12,미국,미국,,,,"멜로/로맨스,서부극(웨스턴)",에드워드 디미트릭,"리차드 위드마크,헨리 폰다,앤소니 퀸"
35,와와의 학교 가는 날,2016-10-27,"7,347,000",0.0%,"59,968,800","1,597","10,854",13,78,중국,중국,,(주)마노엔터테인먼트,전체관람가,드라마,펑천,"딩지아리,아나무랑,차오시웬"
36,뷰티풀 레이디스,2016-11-10,"11,568,000",0.1%,"14,888,000","1,552","1,982",39,361,프랑스,프랑스,,(주)디스테이션,15세이상관람가,"드라마,범죄",오드리 에스트루고,"소피 마르소,수잔 클레망,앨리스 벨라이디,앤 르니"
37,다가오는 것들,2016-09-29,"12,771,500",0.1%,"223,786,334","1,542","27,953",8,71,프랑스,프랑스,,찬란,15세이상관람가,드라마,미아 한센-로브,"이자벨 위페르,에디뜨 스콥"
38,걷기왕,2016-10-20,"8,051,500",0.0%,"687,206,975","1,505","91,532",28,85,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동"
39,바후발리 : 더 비기닝,2016-11-10,"9,959,000",0.0%,"24,512,000","1,279","2,982",31,260,인도,인도,,팔레드시네마(주),15세이상관람가,"액션,어드벤처,전쟁",S.S. 라자몰리,"프라바스,타만나 바티아,아누쉬카 쉐티,라나 닥구바티,사티 아라즈,람야 크리쉬나"
