순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,너의 이름은.,2017-01-04,11453743542 ,0.324,13127913442 ,1416097 ,1628364 ,947 ,25817 ,일본,일본,,메가박스(주)플러스엠,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
2,마스터,2016-12-21,6940032700 ,0.196,54340482765 ,836740 ,6698517 ,883 ,21300 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,진경,김정우,장한별"
3,패신저스,2017-01-04,4190855818 ,0.119,4846221318 ,506508 ,591953 ,608 ,14743 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"어드벤처,SF",모튼 틸덤,"크리스 프랫,제니퍼 로렌스,마이클 쉰,앤디 가르시아,로렌스 피쉬번"
4,씽,2016-12-21,2220484600 ,0.063,12693232489 ,290753 ,1654742 ,575 ,7956 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,뮤지컬",가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,세스 맥팔레인"
5,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,1945234000 ,0.055,2200537400 ,259721 ,296708 ,526 ,6789 ,러시아,러시아,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,가족,판타지",알렉세이 트시칠린,"박지윤,엄상현,남도형,박상훈,이재범"
6,사랑하기 때문에,2017-01-04,1842562340 ,0.052,2332837440 ,232259 ,295877 ,542 ,10485 ,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,멜로/로맨스",주지홍,"차태현,김유정,서현진,박근형,선우용녀,성동일,배성우,임주환,김윤혜,오나라,김사희,장도윤,김강훈"
7,라라랜드,2016-12-07,1801513082 ,0.051,23443496614 ,214344 ,2799297 ,403 ,6134 ,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",다미엔 차젤레,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
8,로그 원: 스타워즈 스토리,2016-12-28,1306892600 ,0.037,8912387794 ,130390 ,1002823 ,458 ,5959 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",가렛 에드워즈,"펠리시티 존스,디에고 루나,매즈 미켈슨,리즈 아메드,포레스트 휘테커,견자단,알란 터딕,강문"
9,판도라,2016-12-07,649779100 ,0.018,35923829564 ,82339 ,4562469 ,322 ,3601 ,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성"
10,여교사,2017-01-04,681676260 ,0.019,862347660 ,82068 ,105081 ,393 ,4823 ,한국,한국,(주)외유내강,필라멘트픽쳐스,청소년관람불가,드라마,김태용,"김하늘,유인영,이원근,이기우"
11,어쌔신 크리드,2017-01-11,471000400 ,0.013,475010400 ,61456 ,61857 ,540 ,2384 ,미국,"미국,영국,프랑스",,이십세기폭스코리아(주),15세이상관람가,"액션,어드벤처,판타지,SF",저스틴 커젤,"마이클 패스벤더,마리옹 꼬띠아르,아리안 라베드,제레미 아이언스,브렌단 글리슨,마이클 K. 윌리엄스"
12,루돌프와 많이있어,2016-12-28,339895500 ,0.01,1596680500 ,44785 ,210755 ,191 ,1446 ,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,"유야마 쿠니히코,사카키바라 모토노리","김율,신용우,홍범기,시영준,김영찬,정유정,김가령,이노우에 마오,스즈키 료헤이,미즈키 나나,후루타 아라타"
13,얼라이드,2017-01-11,336795300 ,0.01,364026300 ,44486 ,47724 ,488 ,2099 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"스릴러,드라마,멜로/로맨스",로버트 저메키스,"브래드 피트,마리옹 꼬띠아르,리지 캐플란,매튜 구드,자레드 해리스"
14,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,153726700 ,0.004,2119924100 ,19776 ,278923 ,102 ,684 ,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,판타지,가족",유야마 쿠니히코,
15,"내 어깨 위 고양이, 밥",2017-01-04,138888600 ,0.004,176385800 ,17410 ,22033 ,112 ,1234 ,영국,영국,,(주)누리픽쳐스,12세이상관람가,드라마,로저 스포티스우드,"루크 트레더웨이,루타 게드민타스,조앤 프로갯,안소니 헤드"
16,사다코 대 카야코,2017-01-04,129789500 ,0.004,170054500 ,16495 ,21709 ,131 ,1879 ,일본,일본,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공포(호러),시라이시 코지,"야마모토 미즈키,타마시로 티나"
17,"나, 다니엘 블레이크",2016-12-08,67792900 ,0.002,550918700 ,9684 ,71058 ,42 ,405 ,영국,영국,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,데이브 존스
18,에곤 쉴레: 욕망이 그린 그림,2016-12-22,70962000 ,0.002,306309700 ,8950 ,38574 ,44 ,415 ,오스트리아,"오스트리아,룩셈부르크",,(주)티캐스트,청소년관람불가,드라마,디에터 버너,"노아 자베드라,마레지 리크너"
